ID,Title,Author,ReleaseDate
"1","The Declaration of Independence of the United States of America","Thomas Jefferson","December 1, 1971"
"10","The King James Version of the Bible","","August 1, 1989"
"100","The Complete Works of William Shakespeare","William Shakespeare","January 1, 1994"
"101","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","Bruce Sterling","January 1, 1994"
"102","The Tragedy of Pudd'nhead Wilson","Mark Twain","September 14, 2004"
"103","Around the World in Eighty Days","Jules Verne",""
"105","Persuasion","Jane Austen","February 1, 1994"
"1057","Poems","mariners upon a storm-tossed sea,—","March 31, 2013"
"1059","The World Set Free","H. G. Wells","February 11, 2006"
"107","collection. Various characteristics of each ebook are listed to aid in","Thomas Hardy",""
"108","The Return of Sherlock Holmes","Arthur Conan Doyle","March 8, 2006"
"11","Alice's Adventures in Wonderland","Lewis Carroll","June 27, 2008"
"110","Tess of the d'Urbervilles: A Pure Woman","Thomas Hardy","February 1, 1994"
"113","THE SECRET GARDEN","Frances Hodgson Burnett",""
"119","A Tramp Abroad","Mark Twain","June 19, 2004"
"12","Through the Looking-Glass","Lewis Carroll","June 25, 2008"
"120","Treasure Island","Robert Louis Stevenson","February 26, 2006"
"121","Northanger Abbey","Jane Austen","April 1, 1994"
"122","The Return of the Native","Thomas Hardy",""
"124","Deuterocanonical Books of the Bible","Anonymous","April, 1994"
"125","A Girl of the Limberlost","Gene Stratton-Porter","March 8, 2006"
"128","The Arabian Nights Entertainments","Andrew Lang","May 1, 1994"
"130","Orthodoxy","G. K. Chesterton","May 1, 1994"
"131","The Pilgrim's Progress from this world to that which is to come","John Bunyan","May 1, 1994"
"132","The Art of War","active 6th century B.C. Sunzi","May 1, 1994"
"134","Maria; Or, The Wrongs of Woman","Mary Wollstonecraft","March 8, 2006"
"135","LES MISÉRABLES","Victor Hugo","1887"
"139","The Lost World","Arthur Conan Doyle","June 1, 1994"
"14","The 1990 CIA World Factbook","United States. Central Intelligence Agency","April 1, 1991"
"140","The Jungle","Upton Sinclair",""
"141","Mansfield Park","Jane Austen","June 1, 1994"
"142","THE $30,000 BEQUEST","watching, I know that the stars are not going to last. I have seen",""
"143","The Mayor of Casterbridge","Thomas Hardy",""
"144","The Voyage Out","Virginia Woolf",""
"14465","Gods and Fighting Men","Lady Gregory","December 25, 2004"
"14471","The Empty House and Other Ghost Stories","Algernon Blackwood","December 26, 2004"
"14472","Showell's Dictionary of Birmingham","Thomas T. Harman","December 26, 2004"
"14484","The Seven Plays in English Verse","Sophocles","December 27, 2004"
"14522","The Canterville Ghost","Oscar Wilde","December 30, 2004"
"14568","Sir Gawayne","some other path, and then I shall hie me home again. I swear to you",""
"14591","Faust [part 1]. Translated Into English in the Original Metres","Johann Wolfgang von Goethe","January 4, 2005"
"146","A Little Princess","Frances Hodgson Burnett","July 1, 1994"
"14600","Theory of Silk Weaving","Arnold Wolfensberger","January 5, 2005"
"14625","Military Instructors Manual","J. P. Cole","January 9, 2005"
"14636","Tragic Sense Of Life","Miguel de Unamuno","January 8, 2005"
"14640","McGuffey's First Eclectic Reader, Revised Edition","William Holmes McGuffey","June 29, 2005"
"14655","Big People and Little People of Other Lands","Edward R. Shaw","January 10, 2005"
"14657","Philo-Judæus of Alexandria","Norman Bentwich","January 10, 2005"
"14683","Poèmes","Oscar Wilde","January 13, 2005"
"147","COMMON SENSE;","the people only. Ye appear to us, to have mistaken party for",""
"14715","The House in Good Taste","Elsie De Wolfe","January 17, 2005"
"14726","The Elder Eddas of Saemund Sigfusson; and the Younger Eddas of Snorre Sturleson","Sæmundur fróði","January 18, 2005"
